WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
31/3/2016 9:00,14.6,175,17,0,1013.4,1016.9,1017,0,68.2,6,512,22.7,24.1,25.5,26.1,8,20.74
31/3/2016 9:10,14.6,194,22,0.1,1013.4,1016.9,1017,0,67.2,5,565,22.7,24.1,25.5,26.1,8,20.97
31/3/2016 9:20,14.8,198,30,0.1,1013.4,1016.9,1017,0,68.2,5,574,22.7,24,25.5,26.1,8,20.92
31/3/2016 9:30,15.1,215,27,0,1013.4,1016.8,1017,0,66.6,5,623,22.6,24,25.5,26.1,8,21.63
31/3/2016 9:40,15.2,183,25,0.1,1013.3,1016.7,1016.9,0,63.8,6,617,22.7,24,25.5,26.1,9,22.39
31/3/2016 9:50,15,208,22,0.1,1013.3,1016.7,1016.9,0,64.1,5,623,22.7,24,25.5,26.1,8,22.1
31/3/2016 10:00,14.6,194,23,0.1,1013.2,1016.6,1016.8,0,61.8,5,646,22.7,23.9,25.5,26.1,9,22.34
31/3/2016 10:10,14.5,196,26,0.1,1013.1,1016.5,1016.7,0,60.1,5,677,22.7,23.9,25.4,26.1,7,22.72
31/3/2016 10:20,15,199,25,0.1,1013,1016.4,1016.6,0,58.3,5,705,22.8,23.9,25.4,26.1,7,23.7
31/3/2016 10:30,14.4,207,35,0.1,1013,1016.4,1016.6,0,59.3,5,711,22.8,23.9,25.4,26.1,8,22.81
31/3/2016 10:40,14.5,188,31,0.1,1012.9,1016.3,1016.5,0,57.4,5,736,22.9,23.8,25.4,26.1,8,23.45
31/3/2016 10:50,15.2,223,33,0.1,1012.9,1016.3,1016.5,0,58.8,6,774,22.9,23.8,25.4,26.1,11,23.75
31/3/2016 11:00,14.9,231,36,0.1,1012.8,1016.2,1016.4,0,56.7,7,761,23,23.8,25.4,26.1,11,24.09
31/3/2016 11:10,14.4,238,36,0.2,1012.8,1016.2,1016.4,0,55.8,6,778,23.1,23.8,25.4,26.1,11,23.85
31/3/2016 11:20,14.6,246,30,0.1,1012.7,1016.1,1016.3,0,54.3,7,777,23.2,23.8,25.4,26.1,13,24.48
31/3/2016 11:30,13.2,231,30,0.1,1012.6,1016,1016.2,0,52.7,7,788,23.3,23.8,25.3,26.1,12,23.44
31/3/2016 11:40,13.8,242,30,0.1,1012.4,1015.8,1016,0,52.1,6,802,23.4,23.8,25.3,26.1,11,24.33
31/3/2016 11:50,13.9,235,30,0.1,1012.3,1015.7,1015.9,0,52.3,6,796,23.5,23.8,25.3,26.1,11,24.31
31/3/2016 12:00,13.8,247,29,0.2,1012.1,1015.5,1015.7,0,49,7,809,23.6,23.7,25.3,26.1,12,25.37
31/3/2016 12:10,13,242,30,0.1,1012,1015.4,1015.6,0,48.5,7,815,23.8,23.8,25.3,26.1,16,24.64
31/3/2016 12:20,12.7,234,32,0.1,1012,1015.4,1015.6,0,50.1,7,811,23.9,23.8,25.3,26.1,14,23.78
31/3/2016 12:30,13.1,235,29,0.1,1011.9,1015.3,1015.5,0,51.7,7,811,24,23.8,25.3,26.1,11,23.74
